Title,IMDb Link,category
Radhe,https://www.imdb.com/title/tt10888594/?ref_=sr_i_1,1_3
Adipurush,https://www.imdb.com/title/tt12915716/?ref_=sr_i_2,1_3
Meet the Spartans,https://www.imdb.com/title/tt1073498/?ref_=sr_i_3,1_3
Epic Movie,https://www.imdb.com/title/tt0799949/?ref_=sr_i_4,1_3
Sadak 2,https://www.imdb.com/title/tt7886848/?ref_=sr_i_5,1_3
Disaster Movie,https://www.imdb.com/title/tt1213644/?ref_=sr_i_6,1_3
Queen Cleopatra,https://www.imdb.com/title/tt27528139/?ref_=sr_i_7,1_3
Battlefield Earth,https://www.imdb.com/title/tt0185183/?ref_=sr_i_8,1_3
Dragonball Evolution,https://www.imdb.com/title/tt1098327/?ref_=sr_i_9,1_3
Velma,https://www.imdb.com/title/tt14153790/?ref_=sr_i_10,1_3
Justin Bieber: Never Say Never,https://www.imdb.com/title/tt1702443/?ref_=sr_i_11,1_3
Reis,https://www.imdb.com/title/tt5988370/?ref_=sr_i_12,1_3
Date Movie,https://www.imdb.com/title/tt0466342/?ref_=sr_i_13,1_3
Gunday,https://www.imdb.com/title/tt2574698/?ref_=sr_i_14,1_3
Son of the Mask,https://www.imdb.com/title/tt0362165/?ref_=sr_i_15,1_3
Laxmii,https://www.imdb.com/title/tt10350922/?ref_=sr_i_16,1_3
Cats,https://www.imdb.com/title/tt5697572/?ref_=sr_i_17,1_3
Enes Batur: Imagination or Reality?,https://www.imdb.com/title/tt7668842/?ref_=sr_i_18,1_3
Gigli,https://www.imdb.com/title/tt0299930/?ref_=sr_i_19,1_3
Jaws: The Revenge,https://www.imdb.com/title/tt0093300/?ref_=sr_i_20,1_3
Race 3,https://www.imdb.com/title/tt7431594/?ref_=sr_i_21,1_3
Liger,https://www.imdb.com/title/tt4435072/?ref_=sr_i_22,1_3
Alone in the Dark,https://www.imdb.com/title/tt0369226/?ref_=sr_i_23,1_3
The Prototype,https://www.imdb.com/title/tt1754700/?ref_=sr_i_24,1_3
My Little Princess,https://www.imdb.com/title/tt1725047/?ref_=sr_i_25,1_3
Home Alone 4: Taking Back the House,https://www.imdb.com/title/tt0329200/?ref_=sr_i_26,1_3
The Cost of Deception,https://www.imdb.com/title/tt14723224/?ref_=sr_i_27,1_3
Smolensk,https://www.imdb.com/title/tt6038600/?ref_=sr_i_28,1_3
Cumali Ceber,https://www.imdb.com/title/tt7221896/?ref_=sr_i_29,1_3
