Title,IMDb Link
Suicide Squad,https://www.imdb.com/title/tt1386697/?ref_=sr_i_1
Twilight,https://www.imdb.com/title/tt1099212/?ref_=sr_i_2
Justice League,https://www.imdb.com/title/tt0974015/?ref_=sr_i_3
Transformers: Revenge of the Fallen,https://www.imdb.com/title/tt1055369/?ref_=sr_i_4
2012,https://www.imdb.com/title/tt1190080/?ref_=sr_i_5
Fantastic Four,https://www.imdb.com/title/tt0120667/?ref_=sr_i_6
Jurassic Park III,https://www.imdb.com/title/tt0163025/?ref_=sr_i_7
The Hangover Part III,https://www.imdb.com/title/tt1951261/?ref_=sr_i_8
Fifty Shades of Grey,https://www.imdb.com/title/tt2322441/?ref_=sr_i_9
Transformers: Age of Extinction,https://www.imdb.com/title/tt2109248/?ref_=sr_i_10
The Twilight Saga: New Moon,https://www.imdb.com/title/tt1259571/?ref_=sr_i_11
2 Fast 2 Furious,https://www.imdb.com/title/tt0322259/?ref_=sr_i_12
Green Lantern,https://www.imdb.com/title/tt1133985/?ref_=sr_i_13
Wonder Woman 1984,https://www.imdb.com/title/tt7126948/?ref_=sr_i_14
Clash of the Titans,https://www.imdb.com/title/tt0800320/?ref_=sr_i_15
Grown Ups,https://www.imdb.com/title/tt1375670/?ref_=sr_i_16
The Matrix Resurrections,https://www.imdb.com/title/tt10838180/?ref_=sr_i_17
Fantastic Four: Rise of the Silver Surfer,https://www.imdb.com/title/tt0486576/?ref_=sr_i_18
Hulk,https://www.imdb.com/title/tt0286716/?ref_=sr_i_19
Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/?ref_=sr_i_20
Batman & Robin,https://www.imdb.com/title/tt0118688/?ref_=sr_i_21
Batman Forever,https://www.imdb.com/title/tt0112462/?ref_=sr_i_22
Noah,https://www.imdb.com/title/tt1959490/?ref_=sr_i_23
Game of Thrones,https://www.imdb.com/title/tt6027920/?ref_=sr_i_24
The Twilight Saga: Breaking Dawn - Part 2,https://www.imdb.com/title/tt1673434/?ref_=sr_i_25
The Twilight Saga: Eclipse,https://www.imdb.com/title/tt1325004/?ref_=sr_i_26
Battleship,https://www.imdb.com/title/tt1440129/?ref_=sr_i_27
